epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,1079.46,2.20389,1.53291,0.97101,0.38972,0.57222,0.36197,0.13447,1.75919,3.96009,0.84595,0.0011354,0.0011354,0.0011354
133,1087.15,2.12213,1.59303,0.95457,0.36958,0.55,0.35336,0.12397,1.81847,6.52977,0.86791,0.0011288,0.0011288,0.0011288
134,1093.82,2.12463,1.46014,0.98546,0.48779,0.62778,0.48557,0.17347,1.79327,3.16635,0.89897,0.0011222,0.0011222,0.0011222
135,1099.4,2.18867,1.58764,0.98534,0.51966,0.61111,0.4604,0.13933,1.78484,2.86769,0.86807,0.0011156,0.0011156,0.0011156
136,1104.62,2.21405,1.5001,0.96928,0.51992,0.61111,0.44645,0.13805,1.84135,2.80475,0.88326,0.001109,0.001109,0.001109
137,1109.95,2.09826,1.46582,0.97198,0.45559,0.64444,0.42887,0.1386,1.81265,3.23715,0.86562,0.0011024,0.0011024,0.0011024
138,1115.26,2.19692,1.53645,0.97051,0.42118,0.56667,0.41522,0.13877,1.76488,2.99773,0.83601,0.0010958,0.0010958,0.0010958
139,1120.6,2.13301,1.4528,0.97239,0.44344,0.6,0.42096,0.13051,1.79779,2.35279,0.84115,0.0010892,0.0010892,0.0010892
140,1125.78,2.14533,1.53592,0.94701,0.46432,0.61111,0.43406,0.13844,1.78725,2.88931,0.8259,0.0010826,0.0010826,0.0010826
141,1130.86,2.19892,1.52372,0.98462,0.46004,0.61667,0.44315,0.14133,1.79365,2.89605,0.84686,0.001076,0.001076,0.001076
142,1136.25,2.12586,1.52561,0.96001,0.42698,0.58369,0.41852,0.13969,1.80899,3.36628,0.84087,0.0010694,0.0010694,0.0010694
143,1141.87,2.14372,1.46454,0.9582,0.49361,0.61111,0.49584,0.15572,1.7646,2.67725,0.8336,0.0010628,0.0010628,0.0010628
144,1147.54,2.13604,1.47074,0.94952,0.5282,0.61667,0.52163,0.17782,1.77774,3.65712,0.85225,0.0010562,0.0010562,0.0010562
