epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,3376.09,1.71902,1.34274,1.13321,0.4461,0.61111,0.52619,0.17958,2.25361,2.55457,1.22084,0.0010298,0.0010298,0.0010298
149,3398.91,1.73919,1.38638,1.09634,0.52941,0.58889,0.50783,0.17329,2.29756,3.73114,1.2143,0.0010232,0.0010232,0.0010232
150,3421.52,1.74167,1.38952,1.13648,0.37116,0.66237,0.42587,0.1643,2.1585,3.14395,1.18885,0.0010166,0.0010166,0.0010166
151,3444.32,1.77187,1.43837,1.10649,0.40275,0.75556,0.45911,0.16779,2.1824,2.33043,1.21266,0.00101,0.00101,0.00101
152,3467.11,1.69286,1.34069,1.10779,0.41264,0.72778,0.47609,0.17218,2.19678,1.76514,1.23273,0.0010034,0.0010034,0.0010034
153,3489.92,1.71223,1.34239,1.10689,0.36948,0.67222,0.39112,0.14051,2.22818,2.23179,1.20522,0.0009968,0.0009968,0.0009968
154,3512.55,1.69236,1.36656,1.10312,0.54252,0.61272,0.56851,0.2156,2.13961,1.9447,1.20418,0.0009902,0.0009902,0.0009902
155,3535.37,1.69132,1.3683,1.10268,0.45712,0.66111,0.49742,0.18646,2.17298,2.69617,1.20221,0.0009836,0.0009836,0.0009836
156,3558.23,1.7174,1.40516,1.10502,0.5531,0.65321,0.57827,0.21017,2.17536,1.99205,1.1825,0.000977,0.000977,0.000977
157,3580.88,1.6836,1.33785,1.06226,0.40816,0.63217,0.48893,0.18751,2.11792,2.10319,1.17529,0.0009704,0.0009704,0.0009704
158,3603.76,1.71013,1.35842,1.13231,0.44706,0.61667,0.49409,0.18047,2.2483,2.0988,1.22651,0.0009638,0.0009638,0.0009638
159,3626.54,1.69818,1.37195,1.10357,0.47395,0.71667,0.56462,0.2044,2.15013,2.336,1.19532,0.0009572,0.0009572,0.0009572
160,3649.19,1.73069,1.38493,1.12944,0.58344,0.63333,0.62512,0.22065,2.20968,1.95493,1.1888,0.0009506,0.0009506,0.0009506
161,3671.94,1.71534,1.36252,1.0848,0.44786,0.712,0.52433,0.20625,2.08134,1.8299,1.16191,0.000944,0.000944,0.000944
162,3694.48,1.70615,1.36078,1.09395,0.3861,0.72778,0.47245,0.18006,2.21927,3.74898,1.20959,0.0009374,0.0009374,0.0009374
163,3716.98,1.6818,1.30168,1.06663,0.40676,0.69329,0.46337,0.17271,2.22323,2.78631,1.20547,0.0009308,0.0009308,0.0009308
164,3739.86,1.69592,1.378,1.09281,0.43514,0.63889,0.50574,0.18527,2.21014,2.58708,1.23266,0.0009242,0.0009242,0.0009242
165,3762.64,1.66009,1.33001,1.09987,0.56945,0.64444,0.59221,0.20366,2.30386,2.07188,1.22503,0.0009176,0.0009176,0.0009176
166,3785.42,1.69938,1.35213,1.11124,0.42121,0.67778,0.53377,0.19359,2.17631,2.32124,1.18947,0.000911,0.000911,0.000911
167,3808.37,1.64519,1.30469,1.08332,0.49266,0.52778,0.4912,0.1796,2.27097,4.85051,1.19998,0.0009044,0.0009044,0.0009044
168,3831.39,1.66179,1.30786,1.07823,0.40238,0.60556,0.43586,0.14079,2.36704,2.71476,1.25054,0.0008978,0.0008978,0.0008978
169,3854.13,1.65019,1.28488,1.10428,0.3333,0.65556,0.39115,0.13348,2.38305,2.3602,1.24221,0.0008912,0.0008912,0.0008912
170,3877.04,1.62728,1.30987,1.10141,0.45897,0.62222,0.53164,0.18566,2.20225,2.75657,1.21085,0.0008846,0.0008846,0.0008846
